id,venue_name,category,subcategory,byob_policy,partner_status,partner_tier,website,email,phone,instagram,facebook,capacity_min,capacity_max,price_range,indoor_outdoor,location_area,event_types,notes,contact_status,last_contacted
42,ESB-MACC,Public & Community,City cultural center,Alcohol by permit; BYOB with TABC server,none,,,,,,,,,,$,Indoor,East Austin,"Cultural,Social",,not_started,
43,George Washington Carver Cultural Center,Public & Community,City facility,Alcohol by permit; BYOB (private events),none,,,,,,,,,,$,Indoor,East Austin,"Cultural,Social",,not_started,
44,Dougherty Arts Center,Public & Community,City arts center,BYOB with permit; outside catering/bar only,none,,,,,,,,,,$,Indoor,Central Austin,"Social,Arts",,not_started,
45,Fiesta Gardens,Public & Community,City event complex,BYOB with permit; renters supply all beverages,none,,,,,,,,,,$,Outdoor,East Austin,"Social,Parties,Cultural",,not_started,
46,Zilker Park Pavilions & Picnic Sites,Public & Community,City park sites,Permitted alcohol is BYOB only; no sales on-site,none,,,,,,,,,,$,Outdoor,Zilker,"Social,Parties",,not_started,
47,Austin Roller Rink,Entertainment & Activity,Skating rink,Private rink rentals allow BYOB for adult events,none,,,,,,,,,,$,Indoor,South Austin,"Parties,Social,Unique",,not_started,
48,Austin Karaoke (North Lamar),Entertainment & Activity,Karaoke rooms,BYOB; guests bring beer/wine/soju to private rooms,none,,,,,,,,,,$,Indoor,North Austin,"Parties,Social",,not_started,
49,Fallout Theater,Entertainment & Activity,Comedy theater,BYOB ~95% of the time; patrons bring drinks,none,,,,,,,,,,$,Indoor,East Austin,"Social,Comedy,Parties",,not_started,
50,Blue Starlite Drive-In (Downtown),Entertainment & Activity,Boutique drive-in,Downtown location is BYOB; bring coolers,none,,,,,,,,,,$,Outdoor,Downtown,"Social,Unique,Date Night",,not_started,
51,Pedal Pub Austin,Entertainment & Activity,Party bike,BYOB: riders bring beer/wine; operator cannot provide alcohol,none,,,,,,,,,,$,Outdoor,Downtown,"Parties,Bachelor/ette,Social",,not_started,
52,Trolley Pub Austin,Entertainment & Activity,Party bike,BYOB: bring cans of beer/wine onboard,none,,,,,,,,,,$,Outdoor,Downtown,"Parties,Bachelor/ette,Social",,not_started,
53,Austin Pedal Party,Entertainment & Activity,Party bike,Explicit BYOB; bring your own alcohol (no glass),none,,,,,,,,,,$,Outdoor,Downtown,"Parties,Bachelor/ette,Social",,not_started,
54,Hipside Peddler,Entertainment & Activity,Party bike,BYOB; cans/boxed wine/pony keg allowed,none,,,,,,,,,,$,Outdoor,Downtown,"Parties,Bachelor/ette,Social",,not_started,
55,Premier Party Cruises (Lake Travis),Entertainment & Activity,Party boats,All cruises are BYOB; coolers/ice provided,current,premier,,,,,,,,,$$$,Outdoor,Lake Travis,"Weddings,Parties,Corporate,Bachelor/ette",CURRENT PARTNER - TOP TIER,active,
56,Tide Up Boat Rentals,Entertainment & Activity,Pontoon/party boats,BYOB sunset tours & charters; bring your own beverages,none,,,,,,,,,,$$,Outdoor,Lake Travis,"Parties,Social,Date Night",,not_started,
57,ATX Aquafun (Lakeway Marina),Entertainment & Activity,Pontoon rentals,If bringing alcohol it is BYOB; bring your own,none,,,,,,,,,,$$,Outdoor,Lake Travis,"Parties,Social",,not_started,
58,Lone Star Pedal Barge,Entertainment & Activity,Pedal-powered barge,BYOB & BYOF on Lake Travis; bring favorite drinks,none,,,,,,,,,,$,Outdoor,Lake Travis,"Parties,Social,Unique",,not_started,
59,Captain Verde's Party Boats (Lake Austin),Entertainment & Activity,Party boats,BYOB; ice chest on board; bring your drinks,none,,,,,,,,,,$$,Outdoor,Lake Austin,"Parties,Social",,not_started,
60,Painting With a Twist - North Austin,Entertainment & Activity,Art studio,Paint-and-sip; BYOB wine/beer for adult classes,none,,,,,,,,,,$,Indoor,North Austin,"Social,Date Night,Parties",,not_started,
61,Painting With a Twist - South Austin,Entertainment & Activity,Art studio,BYOB; private paint parties welcome beverages,none,,,,,,,,,,$,Indoor,South Austin,"Social,Date Night,Parties",,not_started,
62,CRAFT (Austin),Entertainment & Activity,DIY craft studio,Allows BYOB for adult craft nights & private events,none,,,,,,,,,,$,Indoor,Austin,"Social,Parties",,not_started,
63,Board & Brush (Austin area),Entertainment & Activity,DIY workshop,Typically BYOB; guests bring beer/wine to workshops,none,,,,,,,,,,$,Indoor,Austin,"Social,Date Night,Parties",,not_started,
64,Cafe Monet Art Studio,Entertainment & Activity,Pottery studio,BYOB for adult pottery nights/private parties,none,,,,,,,,,,$,Indoor,Austin,"Social,Date Night,Parties",,not_started,
65,Art by the Glass Studio,Entertainment & Activity,Art studio,BYOB painting parties; bring your own beverages,none,,,,,,,,,,$,Indoor,Austin,"Social,Date Night,Parties",,not_started,
66,Kindred Oaks (Georgetown),Outside Travis County,Wedding estate,BYOB permitted; TABC bartender required,none,,,,,,,,,,$$$,Both,Georgetown,Weddings,,not_started,
67,Texas Old Town (Kyle),Outside Travis County,Venue halls,BYOB allowed; clients handle alcohol/bartenders,none,,,,,,,,,,$$,Both,Kyle,"Weddings,Corporate",,not_started,
68,Kali-Kate (Buda),Outside Travis County,Ranch pavilion,BYOB weddings; client supplies alcohol,none,,,,,,,,,,$$$,Both,Buda,Weddings,,not_started,
69,The Creek Haus (Dripping Springs),Outside Travis County,Retreat venue,BYO included; venue provides bartenders,none,,,,,,,,,,$$$,Both,Dripping Springs,Weddings,,not_started,
70,Vista West Ranch (Dripping Springs),Outside Travis County,Barn venue,BYOB; no corkage; bartenders included,none,,,,,,,,,,$$$,Both,Dripping Springs,Weddings,,not_started,
71,Ma Maison (Dripping Springs),Outside Travis County,Luxury venue,Outside catering & bar; BYO permitted,none,,,,,,,,,,$$$$,Both,Dripping Springs,Weddings,,not_started,
72,Two Wishes Ranch (Lockhart),Outside Travis County,Modern barn,BYOB-friendly; TABC bartending required,none,,,,,,,,,,$$$,Both,Lockhart,Weddings,,not_started,
73,The Vineyards at Chappel Lodge (South Austin/Buda),Outside Travis County,Vineyard estate,Client-supplied alcohol with venue guidelines,none,,,,,,,,,,$$$,Both,Buda,Weddings,,not_started,
